feature,p_value,rank_biserial,cohens_d,mean_UPDRS0,mean_UPDRS1,direction
s1_z_mean,0.00947161674838037,0.1907940746392015,0.26271593338087396,-9.7571308102302,-9.036116996484976,UPDRS1>
s1_pitch_std,0.00976145200164497,0.190031152647975,0.3631882036774147,10.873335674832406,9.287452110661794,UPDRS0>
s1_pk_amp_early,0.010262107172402933,0.18875961599593105,0.2706018033040283,-9.285117542169552,-8.533168788334146,UPDRS1>
s2_z_mean,0.011729876581902556,0.18532646703541233,0.3167129311307391,-11.973945526597948,-11.044662166835371,UPDRS1>
s2_ipi_cv,0.012684981018855162,0.18329200839214188,0.17694892658375785,0.1654398835791604,0.18505639769166496,UPDRS1>
s2_power_1_5hz,0.017970509916051966,0.1740097908322208,0.23864652455702645,173105.7991925564,226502.7975896362,UPDRS1>
s1_pitch_iqr,0.019629208752700696,0.17159387119333713,0.34763585814654413,19.129561224489798,15.744607476635514,UPDRS0>
s1_pk_amp_decrement,0.021715500934343813,0.16879649055884038,0.23878707977510089,-0.011117476532324233,0.009934692902329944,UPDRS1>
s1_pitch_range,0.025890528765440183,0.16383749761586874,0.31956283669748486,41.99482312925171,37.896504672897194,UPDRS0>
s2_speed3d_mean,0.03366448761424189,0.1562082777036049,0.13407511598823074,48.99325129071645,73.53352198816437,UPDRS1>
s2_y_vel_std,0.03528774105434455,0.15480958738635642,0.16298721944186606,384.5493634155915,989.0518524707384,UPDRS1>
s1_y_vel_mean,0.04022602609670134,0.15086782376502006,0.05259593214478914,14.797134820734987,17.756002428929133,UPDRS1>
s1_x_mean,0.05208270993753854,0.1428571428571429,0.2423026805236706,13.941466809566943,15.046214499002126,UPDRS1>
s2_y_vel_mean,0.058914761355207394,0.13891537923580644,0.13478834297873699,26.045054703893317,43.569880333332435,UPDRS1>
s1_z_range,0.059613622201045754,0.13853391824019323,0.05260656033693293,3.067108843537415,2.9238878504672896,UPDRS0>
s1_z_iqr,0.06370555443567809,0.13637230593171856,0.35934801081306256,1.151329931972789,0.9310420560747663,UPDRS0>
