feature,n0,mean0,std0,n1,mean1,std1,cohen_d_1_vs_0,relative_change_1_vs_0
sample_count,147,624.625850340136,213.07346664684172,107,755.0841121495328,242.78886337203102,0.5747988605974448,0.20885824968396124
duration_s,147,10.392380952380952,3.5510685487425446,107,12.566906542056074,4.048095492050669,0.5747588830211732,0.20924229006221393
speed_mean,147,16.641215938853456,4.635253502264021,107,14.308896299665795,5.940314880758637,-0.44462359553599945,-0.14015319840554588
ang_speed_cv,147,2.1896814431612537,0.7787116131528053,107,2.5496439512561775,1.0098352436057159,0.4058315545067555,0.1643903542312731
acc_abs_mean,147,722.0401058773365,400.99124583529823,107,588.6409902737572,512.9777225688334,-0.294249822715771,-0.18475305529114436
ang_speed_mean,147,1040.7155710944191,577.0032882632477,107,894.7211714496403,473.1936078475041,-0.27143979667052964,-0.14028270903187384
pos_std_z,147,0.8953943976724372,0.4157519581855685,107,0.8370776846148722,0.42404289063079265,-0.13854417600147245,-0.06512963807810095
pos_range_x,147,3.026704081632653,1.0274977196047028,107,2.9240280373831777,0.7774952168971957,-0.10992073984202042,-0.03392338381295944
pos_std_x,147,0.6860051033355812,0.2138412631242575,107,0.6701120242239373,0.18204974851262562,-0.07873365752104255,-0.02316758145729017
speed_std,147,20.203924600853842,11.423326566479131,107,18.7723251842643,28.14773201286574,-0.0704843953033263,-0.07085749154543176
ang_speed_std,147,2805.16719515998,1802.798063587577,107,2709.5151135352194,1592.7422991878614,-0.05547471649332199,-0.034098531378022066
pos_range_y,147,3.526829931972789,1.4778464158700644,107,3.580233644859813,1.4285417427680018,0.0365016040575561,0.015142128743687882
pos_std_y,147,0.8238677951259495,0.34398104829296905,107,0.8335455444575852,0.2561936032673649,0.03109091391986383,0.01174672609961187
speed_cv,147,1.1783390531644113,0.29400827745810754,107,1.187139904313949,0.44081073167713675,0.024138640589771325,0.007468861467251814
pos_range_z,147,3.8062925170068027,2.395777676734334,107,3.7564579439252337,3.304380370267451,-0.01763638606165414,-0.013092680832832574
